,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Стойка окно,,"ПСУ 250х80-2,0",1200,8,"9,6","7,2","69,12",,,,,,,,,,,,,,
,,,1,Уголок,СД-250,"2,5",,636,,"1,5","954,00",,,,,,,,,Стойка дверь,,"ПСУ 250х80-2,0",2500,4,10,"7,2","72,00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ригель фахв.1,Р.ф1,"ПСУ 300х80х2,0",6000,42,252,8,"2 016,00"
,,,,,,,,,,,,,,,,,,,,Уголок,СД-250,"2,5",,530,,"1,5","795,00",,,,,,,Стойка ворота,Р.ф1,"ПСУ 300х80х2,0",4500,8,36,8,"288,00"
,,,,,,,,,,,,,,,,,,,,,,,,,Черный,,,,,,,,,Стойка дверь,Р.ф1,"ПСУ 300х80х2,0",2100,4,"8,4",8,"67,20"
,,,,,,,,,,,,,,,,,,,,,,,,,Итого вес:,,"23 164,00",,,,,,,Стойка окно,Р.ф1,"ПСУ 300х80х2,0",2400,8,"19,2",8,"153,60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Уголок,СД-300,3,,924,,2,"1 848,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Итого вес:,,"30 363,86",,,,,,,,,,,,Оцинковка,,"23 164,00",145,3 358 780р.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Черный,,"0,00",136,0р.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Уголок 250,,530,300,159 000р.,,,,,,,,,,,,Итого вес:,,"43 091,89"
,,,,Площадь,1440,,Оцинковка,,"30 363,86",145,4 402 760р.,,,,,,,,,Площадь,1080,,Фасонка 6мм,,"4 632,80",136,630 061р.,,,,,,,,,,,,,,
,,,,Металоемкост расч.,"28,36",,Черный ,,"0,00",125,0р.,,,,,,,,,Металоемкост расч.,"29,45",,Связи ф12мм,,"1150,4",162,186 365р.,,,,,,,,,,Оцинковка,,"43 091,89",145,6 248 324р.
,,,,Вес каркаса расч.,"40 842,96",,Уголок 250,,636,300,190 800р.,,,,,,,,,Вес каркаса расч.,"31 810,40",,Пятки,,910,128,116 480р.,,,,,,,Площадь,2160,,,,,,
,,,,Цена за тонну расч.,"163,88р.",,Фасонка 6мм,,"6 072,77",136,825 897р.,,,,,,,,,Цена за тонну расч.,"187,40р.",,Метизы,,"1 158,20",200,231 640р.,,,,,,,Металоемкост расч.,"27,94",,,,,,
,,,,Цена на 1 кв. м,"4 648,10р.",,Связи фахв. ф12мм,,"397,33",162,64 368р.,,,,,,,,,Цена на 1 кв. м,"5 519,83р.",,Алексей Щигры,,,,150 000р.,,,,,,,Вес каркаса расч.,"60 343,88",,,,,,
,,,,Цена расч.,"6 693 269,89р.",,Связи ф16мм,,"556,80",162,90 202р.,,,,,,,,,Цена расч.,"5 961 412,00р.",,Проект,,"31 810,40","1,7",54 078р.,,,,,,,Цена за тонну расч.,"177,42р.",,Уголок 250,,924,300,277 200р.
,,,,,,,Пятки,,980,128,125 440р.,,,,,,,,,,,,Общий вес,,"31 810,40",,,,,,,,,Цена на 1 кв. м,"4 956,58р.",,Фасонка 6мм,,"8 618,38",136,1 172 099р.
,,,,,,,Метизы,,"1 518,19",200,303 639р.,,,,,,,,,,,,ИТОГО,,,,4 886 403р.,,,,,,,Цена расч.,"10 706 223,32р.",,Связи фахв. ф12мм,,2682,162,434 484р.
,,,,,,,Доставка 18т,,,,,,,,,,,,,,,,Продажная цена +22%,,,,5 961 412р.,,,,,,,,,,Связи ф16мм,,"554,02",162,89 751р.
,,,,,,,Проект,,"40 842,96",2,81 686р.,,,,,,,,,,,,,,,,,,,,,,,,,,Пятки,,1395,128,178 560р.
,,,,,,,Общий вес,,"40 842,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,Метизы,,"2 154,59",200,430 919р.
,,,,,,,ИТОГО,,,,6 084 791р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Продажная цена +20%,,,,6 693 270р.,,,,,,,,,,,,,,,,,,,,,,,,,,Проект,,"60 343,88","1,5",90 516р.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Общий вес,,"60 343,88",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ИТОГО,,,,8 921 853р.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Продажная цена +20%,,,,10 706 223р.
